date,time,date_from,date_to,canton,source,count,url
2020-07-24,08:00:00,,,ZG,"Ausland und Reise",48,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-07-24,08:00:00,,,ZG,"Beruf",27,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-07-24,08:00:00,,,ZG,"Familiäres Umfeld",50,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-07-24,08:00:00,,,ZG,"Freizeit",35,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-07-24,08:00:00,,,ZG,"Gesundheitseinrichtung (Personal mit Patientenkontakt)",9,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-07-24,08:00:00,,,ZG,"Institution (Pflegeheime, Asylzentren, Strafanstalt)",25,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-07-24,08:00:00,,,ZG,"Schule",1,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-07-24,08:00:00,,,ZG,"Unbekannt",76,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-14,08:00:00,,,ZG,"Ausland und Reise",59,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-14,08:00:00,,,ZG,"Beruf",28,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-14,08:00:00,,,ZG,"Familiäres Umfeld",63,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-14,08:00:00,,,ZG,"Freizeit",43,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-14,08:00:00,,,ZG,"Gesundheitseinrichtung (Personal mit Patientenkontakt)",10,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-14,08:00:00,,,ZG,"Institution (Pflegeheime, Asylzentren, Strafanstalt)",25,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-14,08:00:00,,,ZG,"Schule",1,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-14,08:00:00,,,ZG,"Unbekannt",83,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-19,08:00:00,,,ZG,"Ausland und Reise",63,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-19,08:00:00,,,ZG,"Beruf",29,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-19,08:00:00,,,ZG,"Familiäres Umfeld",63,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-19,08:00:00,,,ZG,"Freizeit",44,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-19,08:00:00,,,ZG,"Gesundheitseinrichtung (Personal mit Patientenkontakt)",10,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-19,08:00:00,,,ZG,"Institution (Pflegeheime, Asylzentren, Strafanstalt)",25,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-19,08:00:00,,,ZG,"Schule",1,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-19,08:00:00,,,ZG,"Unbekannt",84,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-26,08:00:00,,,ZG,"Ausland und Reise",67,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-26,08:00:00,,,ZG,"Beruf",29,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-26,08:00:00,,,ZG,"Familiäres Umfeld",65,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-26,08:00:00,,,ZG,"Freizeit",48,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-26,08:00:00,,,ZG,"Gesundheitseinrichtung (Personal mit Patientenkontakt)",11,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-26,08:00:00,,,ZG,"Institution (Pflegeheime, Asylzentren, Strafanstalt)",25,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-26,08:00:00,,,ZG,"Schule",1,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-08-26,08:00:00,,,ZG,"Unbekannt",94,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-01,08:00:00,,,ZG,"Ausland und Reise",70,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-01,08:00:00,,,ZG,"Beruf",31,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-01,08:00:00,,,ZG,"Familiäres Umfeld",67,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-01,08:00:00,,,ZG,"Freizeit",50,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-01,08:00:00,,,ZG,"Gesundheitseinrichtung (Personal mit Patientenkontakt)",11,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-01,08:00:00,,,ZG,"Institution (Pflegeheime, Asylzentren, Strafanstalt)",25,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-01,08:00:00,,,ZG,"Schule",1,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-01,08:00:00,,,ZG,"Unbekannt",98,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-15,08:00:00,,,ZG,"Ausland und Reise",81,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-15,08:00:00,,,ZG,"Beruf",38,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-15,08:00:00,,,ZG,"Familiäres Umfeld",82,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-15,08:00:00,,,ZG,"Freizeit",58,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-15,08:00:00,,,ZG,"Gesundheitseinrichtung (Personal mit Patientenkontakt)",11,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-15,08:00:00,,,ZG,"Institution (Pflegeheime, Asylzentren, Strafanstalt)",25,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-15,08:00:00,,,ZG,"Schule",1,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-15,08:00:00,,,ZG,"Unbekannt",112,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-23,08:00:00,,,ZG,"Ausland und Reise",83,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-23,08:00:00,,,ZG,"Beruf",40,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-23,08:00:00,,,ZG,"Familiäres Umfeld",84,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-23,08:00:00,,,ZG,"Freizeit",62,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-23,08:00:00,,,ZG,"Gesundheitseinrichtung (Personal mit Patientenkontakt)",11,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-23,08:00:00,,,ZG,"Institution (Pflegeheime, Asylzentren, Strafanstalt)",25,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-23,08:00:00,,,ZG,"Schule",1,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-23,08:00:00,,,ZG,"Unbekannt",117,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-30,08:00:00,,,ZG,"Ausland und Reise",84,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-30,08:00:00,,,ZG,"Beruf",40,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-30,08:00:00,,,ZG,"Familiäres Umfeld",87,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-30,08:00:00,,,ZG,"Freizeit",66,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-30,08:00:00,,,ZG,"Gesundheitseinrichtung (Personal mit Patientenkontakt)",11,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-30,08:00:00,,,ZG,"Institution (Pflegeheime, Asylzentren, Strafanstalt)",25,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-30,08:00:00,,,ZG,"Schule",1,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2020-09-30,08:00:00,,,ZG,"Unbekannt",127,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-05.csv
2021-01-20,00:00:00,,,ZG,"Anderes",26,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-20,00:00:00,,,ZG,"Arbeit (ohne Gesundheits- und Bildungseinrichtungen und soziale Institutionen)",252,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-20,00:00:00,,,ZG,"Bildungseinrichtungen",131,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-20,00:00:00,,,ZG,"Familie und Freunde",1179,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-20,00:00:00,,,ZG,"Gesundheitseinrichungen (ohne Pflegeheime)",122,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-20,00:00:00,,,ZG,"Keine Vermutung zur Ansteckungsquelle",1196,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-20,00:00:00,,,ZG,"Reisen",52,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-20,00:00:00,,,ZG,"Restaurationsbetriebe",17,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-20,00:00:00,,,ZG,"Soziale Institutionen (inkl. Pflegeheime)",316,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-20,00:00:00,,,ZG,"Sport",37,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-20,00:00:00,,,ZG,"Veranstaltungen",17,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-20,00:00:00,,,ZG,"Vereine (ohne Sport)",0,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-21,00:00:00,,,ZG,"Anderes",26,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-21,00:00:00,,,ZG,"Arbeit (ohne Gesundheits- und Bildungseinrichtungen und soziale Institutionen)",254,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-21,00:00:00,,,ZG,"Bildungseinrichtungen",132,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-21,00:00:00,,,ZG,"Familie und Freunde",1189,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-21,00:00:00,,,ZG,"Gesundheitseinrichungen (ohne Pflegeheime)",122,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-21,00:00:00,,,ZG,"Keine Vermutung zur Ansteckungsquelle",1203,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-21,00:00:00,,,ZG,"Reisen",52,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-21,00:00:00,,,ZG,"Restaurationsbetriebe",17,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-21,00:00:00,,,ZG,"Soziale Institutionen (inkl. Pflegeheime)",323,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-21,00:00:00,,,ZG,"Sport",37,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-21,00:00:00,,,ZG,"Veranstaltungen",17,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-21,00:00:00,,,ZG,"Vereine (ohne Sport)",0,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-22,00:00:00,,,ZG,"Anderes",26,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-22,00:00:00,,,ZG,"Arbeit (ohne Gesundheits- und Bildungseinrichtungen und soziale Institutionen)",260,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-22,00:00:00,,,ZG,"Bildungseinrichtungen",150,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-22,00:00:00,,,ZG,"Familie und Freunde",1214,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-22,00:00:00,,,ZG,"Gesundheitseinrichungen (ohne Pflegeheime)",122,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-22,00:00:00,,,ZG,"Keine Vermutung zur Ansteckungsquelle",1225,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-22,00:00:00,,,ZG,"Reisen",52,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-22,00:00:00,,,ZG,"Restaurationsbetriebe",17,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-22,00:00:00,,,ZG,"Soziale Institutionen (inkl. Pflegeheime)",333,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-22,00:00:00,,,ZG,"Sport",40,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-22,00:00:00,,,ZG,"Veranstaltungen",17,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-22,00:00:00,,,ZG,"Vereine (ohne Sport)",0,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
2021-01-25,00:00:00,,,ZG,"Anderes",26,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/daten/themen/result-themen-14-03-11.csv
