date,time,date_from,date_to,canton,source,count,url
,,2020-08-10,2020-08-16,VS,"aus dem Ausland importiert",12,https://www.vs.ch/documents/6756452/7008787/2020 08 19 - Synthese COVID-19 VS Woche33
,,2020-08-10,2020-08-16,VS,"familiäre Fälle",15,https://www.vs.ch/documents/6756452/7008787/2020 08 19 - Synthese COVID-19 VS Woche33
,,2020-08-10,2020-08-16,VS,"im Bezirk Martigny beim Ausbruch der Woche 32",4,https://www.vs.ch/documents/6756452/7008787/2020 08 19 - Synthese COVID-19 VS Woche33
,,2020-08-10,2020-08-16,VS,"isolierte Fälle",17,https://www.vs.ch/documents/6756452/7008787/2020 08 19 - Synthese COVID-19 VS Woche33
,,2020-08-10,2020-08-16,VS,"Übertragung am Arbeitsplatz",3,https://www.vs.ch/documents/6756452/7008787/2020 08 19 - Synthese COVID-19 VS Woche33
,,2020-08-17,2020-08-23,VS,"Arbeitsplatz",7,https://www.vs.ch/documents/6756452/7008787/2020 08 26 - Synthese COVID19 VS Woche34
,,2020-08-17,2020-08-23,VS,"aus dem Ausland importiert",15,https://www.vs.ch/documents/6756452/7008787/2020 08 26 - Synthese COVID19 VS Woche34
,,2020-08-17,2020-08-23,VS,"aus einem Betrieb ausserhalb des Kantons eingeführt",3,https://www.vs.ch/documents/6756452/7008787/2020 08 26 - Synthese COVID19 VS Woche34
,,2020-08-17,2020-08-23,VS,"familiäre Fälle",10,https://www.vs.ch/documents/6756452/7008787/2020 08 26 - Synthese COVID19 VS Woche34
,,2020-08-17,2020-08-23,VS,"isolierte Fälle",24,https://www.vs.ch/documents/6756452/7008787/2020 08 26 - Synthese COVID19 VS Woche34
,,2020-08-24,2020-08-30,VS,"Fälle Freundeskreis",21,https://www.vs.ch/documents/6756452/7008787/2020 09 02 - Synthese COVID19 VS Woche35
,,2020-08-24,2020-08-30,VS,"Fälle aus dem Ausland importiert",13,https://www.vs.ch/documents/6756452/7008787/2020 09 02 - Synthese COVID19 VS Woche35
,,2020-08-24,2020-08-30,VS,"Fälle haben sich am Arbeitsplatz",3,https://www.vs.ch/documents/6756452/7008787/2020 09 02 - Synthese COVID19 VS Woche35
,,2020-08-24,2020-08-30,VS,"Fälle haben sich in der Armee angesteckt",2,https://www.vs.ch/documents/6756452/7008787/2020 09 02 - Synthese COVID19 VS Woche35
,,2020-08-24,2020-08-30,VS,"Fälle isolierte Fälle",17,https://www.vs.ch/documents/6756452/7008787/2020 09 02 - Synthese COVID19 VS Woche35
,,2020-08-24,2020-08-30,VS,"der in Woche 34 aus einem Betrieb ausserhalb des Kantons importiert wurde",1,https://www.vs.ch/documents/6756452/7008787/2020 09 02 - Synthese COVID19 VS Woche35
,,2020-08-24,2020-08-30,VS,"Übertragung am Arbeitsplatz",3,https://www.vs.ch/documents/6756452/7008787/2020 09 02 - Synthese COVID19 VS Woche35
,,2020-08-24,2020-08-30,VS,"Übertragung bei einem privaten Fest ausserhalb des Kantons",4,https://www.vs.ch/documents/6756452/7008787/2020 09 02 - Synthese COVID19 VS Woche35
,,2020-08-31,2020-09-06,VS,"Fälle Freundeskreis",14,https://www.vs.ch/documents/6756452/7008787/2020 09 09 - Synthese COVID19 VS Woche36
,,2020-08-31,2020-09-06,VS,"Fälle aus dem Ausland importiert",10,https://www.vs.ch/documents/6756452/7008787/2020 09 09 - Synthese COVID19 VS Woche36
,,2020-08-31,2020-09-06,VS,"Fälle haben sich am Arbeitsplatz",8,https://www.vs.ch/documents/6756452/7008787/2020 09 09 - Synthese COVID19 VS Woche36
,,2020-08-31,2020-09-06,VS,"Fälle haben sich in der Armee angesteckt",3,https://www.vs.ch/documents/6756452/7008787/2020 09 09 - Synthese COVID19 VS Woche36
,,2020-08-31,2020-09-06,VS,"Fälle isolierte Fälle",21,https://www.vs.ch/documents/6756452/7008787/2020 09 09 - Synthese COVID19 VS Woche36
,,2020-08-31,2020-09-06,VS,"an einem privaten Anlass der in Woche 35",1,https://www.vs.ch/documents/6756452/7008787/2020 09 09 - Synthese COVID19 VS Woche36
,,2020-09-07,2020-09-13,VS,"Fall konnte einem ausserkantonalen Ausbruchsherd in einer Diskothek zugeordnet werden",1,https://www.vs.ch/documents/6756452/7008787/2020 09 16 - Synthese COVID19 VS Woche37
,,2020-09-07,2020-09-13,VS,"Fälle aus dem Ausland importiert",4,https://www.vs.ch/documents/6756452/7008787/2020 09 16 - Synthese COVID19 VS Woche37
,,2020-09-07,2020-09-13,VS,"Fälle haben sich am Arbeitsplatz",8,https://www.vs.ch/documents/6756452/7008787/2020 09 16 - Synthese COVID19 VS Woche37
,,2020-09-07,2020-09-13,VS,"Fälle isolierte Fälle",31,https://www.vs.ch/documents/6756452/7008787/2020 09 16 - Synthese COVID19 VS Woche37
,,2020-09-14,2020-09-20,VS,"pro Tag",14,https://www.vs.ch/documents/6756452/7008787/2020 09 23 - Synthese COVID19 VS Woche38
